ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,remarks,evtitle,evtype,dept,submittedby,galleryname,evdate,oldcode
607,2,2012-03-08 12:05:04,2012-03-08 04:05:04,"[evtitle]Collection Development Workshop by Ruth Miller, 27-30 May 2002
[evtype]Workshop
[dept]Library
[submittedby]LIB
[galleryname]lib-0205
[evdate]2002-05-27
","Collection Development Workshop by Ruth Miller, 27-30 May 2002",,publish,open,open,,lib-0205,,,2012-03-08 12:05:04,2012-03-08 04:05:04,,0,http://digitalimages.ust.hk/gallery/?p=607,0,post,,0,,"Collection Development Workshop by Ruth Miller, 27-30 May 2002",Workshop,Library,LIB,lib-0205,2002-05-27,
608,2,2012-03-08 12:05:04,2012-03-08 04:05:04,"[evtitle]HKUST Library Colloquium in Information Science &quot;Celebrating Special Collections: Scholarship and Beauty&quot;, 6 June 2002
[evtype]Colloquium
[dept]Library
[submittedby]LIB
[galleryname]lib-0206a
[evdate]2002-06-06
","HKUST Library Colloquium in Information Science &quot;Celebrating Special Collections: Scholarship and Beauty&quot;, 6 June 2002",,publish,open,open,,lib-0206a,,,2012-03-08 12:05:04,2012-03-08 04:05:04,,0,http://digitalimages.ust.hk/gallery/?p=608,0,post,,0,,"HKUST Library Colloquium in Information Science &quot;Celebrating Special Collections: Scholarship and Beauty&quot;, 6 June 2002",Colloquium,Library,LIB,lib-0206a,2002-06-06,
609,2,2012-03-08 12:05:04,2012-03-08 04:05:04,"[evtitle]In Celebration of the Opening of the Special Collections Room, HKUST Library.  Exhibition: China in Maps - A Library Special Collection, 6 June 2002 to 15 October 2002
[evtype]Opening
[evtype]Celebration
[dept]Library
[submittedby]LIB
[galleryname]lib-0206b
[evdate]2002-06-06
","In Celebration of the Opening of the Special Collections Room, HKUST Library.  Exhibition: China in Maps - A Library Special Collection, 6 June 2002 to 15 October 2002",,publish,open,open,,lib-0206b,,,2012-03-08 12:05:04,2012-03-08 04:05:04,,0,http://digitalimages.ust.hk/gallery/?p=609,0,post,,0,,"In Celebration of the Opening of the Special Collections Room, HKUST Library.  Exhibition: China in Maps - A Library Special Collection, 6 June 2002 to 15 October 2002",Celebration,Library,LIB,lib-0206b,2002-06-06,
610,2,2012-03-08 12:05:05,2012-03-08 04:05:05,"[evtitle]Clippings from the Old Country: Paper-cuts and Stencil Prints by Yu Ping and Ren Ping, 7 February 2003 to 30 April 2003
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-0302
[evdate]2003-02-07
","Clippings from the Old Country: Paper-cuts and Stencil Prints by Yu Ping and Ren Ping, 7 February 2003 to 30 April 2003",,publish,open,open,,lib-0302,,,2012-03-08 12:05:05,2012-03-08 04:05:05,,0,http://digitalimages.ust.hk/gallery/?p=610,0,post,,0,,"Clippings from the Old Country: Paper-cuts and Stencil Prints by Yu Ping and Ren Ping, 7 February 2003 to 30 April 2003",Exhibition,Library,LIB,lib-0302,2003-02-07,
611,2,2012-03-08 12:05:05,2012-03-08 04:05:05,"[evtitle]The Launch of Library Publication: China in European Maps - A Library Special Collection, HKUST Library, 27 June 2003
[evtype]Lauching
[evtype]Publication
[dept]Library
[submittedby]LIB
[galleryname]lib-0306
[evdate]2003-06-27
","The Launch of Library Publication: China in European Maps - A Library Special Collection, HKUST Library, 27 June 2003",,publish,open,open,,lib-0306,,,2012-03-08 12:05:05,2012-03-08 04:05:05,,0,http://digitalimages.ust.hk/gallery/?p=611,0,post,,0,,"The Launch of Library Publication: China in European Maps - A Library Special Collection, HKUST Library, 27 June 2003",Publication,Library,LIB,lib-0306,2003-06-27,
612,2,2012-03-08 12:05:05,2012-03-08 04:05:05,"[evtitle]Launch Ceremony of &quot;Bookmark Me@UST&quot; Program, HKUST Library, 23 October 2003
[evtype]Donation
[evtype]Lauching
[evtype]Ceremony
[dept]Library
[submittedby]LIB
[galleryname]lib-0310
[evdate]2003-10-23
","Launch Ceremony of &quot;Bookmark Me@UST&quot; Program, HKUST Library, 23 October 2003",,publish,open,open,,lib-0310,,,2012-03-08 12:05:05,2012-03-08 04:05:05,,0,http://digitalimages.ust.hk/gallery/?p=612,0,post,,0,,"Launch Ceremony of &quot;Bookmark Me@UST&quot; Program, HKUST Library, 23 October 2003",Ceremony,Library,LIB,lib-0310,2003-10-23,
613,2,2012-03-08 12:05:05,2012-03-08 04:05:05,"[evtitle]Ting Pang-Hsin and Chen Chi Joint Calligraphy Painting Charity Exhibition, 11 March 2004 to 30 April 2004
[evtype]Charity
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-0403
[evdate]2004-03-11
","Ting Pang-Hsin and Chen Chi Joint Calligraphy Painting Charity Exhibition, 11 March 2004 to 30 April 2004",,publish,open,open,,lib-0403,,,2012-03-08 12:05:05,2012-03-08 04:05:05,,0,http://digitalimages.ust.hk/gallery/?p=613,0,post,,0,,"Ting Pang-Hsin and Chen Chi Joint Calligraphy Painting Charity Exhibition, 11 March 2004 to 30 April 2004",Exhibition,Library,LIB,lib-0403,2004-03-11,
614,2,2012-03-08 12:05:06,2012-03-08 04:05:06,"[evtitle]HKUST Institutional Repository Celebration, HKUST Library, 21 May 2004
[evtype]Celebration
[dept]Library
[submittedby]LIB
[galleryname]lib-0405
[evdate]2004-05-21
","HKUST Institutional Repository Celebration, HKUST Library, 21 May 2004",,publish,open,open,,lib-0405,,,2012-03-08 12:05:06,2012-03-08 04:05:06,,0,http://digitalimages.ust.hk/gallery/?p=614,0,post,,0,,"HKUST Institutional Repository Celebration, HKUST Library, 21 May 2004",Celebration,Library,LIB,lib-0405,2004-05-21,
615,2,2012-03-08 13:05:01,2012-03-08 05:05:01,"[evtitle]Rubbings of Chinese Inscription, 16 April 1993 to 8 June 1993
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9304
[evdate]1993-04-16
","Rubbings of Chinese Inscription, 16 April 1993 to 8 June 1993",,publish,open,open,,lib-9304,,,2012-03-08 13:05:01,2012-03-08 05:05:01,,0,http://digitalimages.ust.hk/gallery/?p=615,0,post,,0,,"Rubbings of Chinese Inscription, 16 April 1993 to 8 June 1993",Exhibition,Library,LIB,lib-9304,1993-04-16,
616,2,2012-03-08 13:05:01,2012-03-08 05:05:01,"[evtitle]Recent Paintings by Lam Wu-Fui, 1 February 1994 to 31 March 1994
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9402
[evdate]1994-02-01
","Recent Paintings by Lam Wu-Fui, 1 February 1994 to 31 March 1994",,publish,open,open,,lib-9402,,,2012-03-08 13:05:01,2012-03-08 05:05:01,,0,http://digitalimages.ust.hk/gallery/?p=616,0,post,,0,,"Recent Paintings by Lam Wu-Fui, 1 February 1994 to 31 March 1994",Exhibition,Library,LIB,lib-9402,1994-02-01,
617,2,2012-03-08 13:05:01,2012-03-08 05:05:01,"[evtitle]Splendors of Brush and Ink: An Exhibition of Fine Reproductions of Chinese Painting and Calligraphy from the National Palace Museum, 2 September 1994 to 31 October 1994
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9409
[evdate]1994-09-02
","Splendors of Brush and Ink: An Exhibition of Fine Reproductions of Chinese Painting and Calligraphy from the National Palace Museum, 2 September 1994 to 31 October 1994",,publish,open,open,,lib-9409,,,2012-03-08 13:05:01,2012-03-08 05:05:01,,0,http://digitalimages.ust.hk/gallery/?p=617,0,post,,0,,"Splendors of Brush and Ink: An Exhibition of Fine Reproductions of Chinese Painting and Calligraphy from the National Palace Museum, 2 September 1994 to 31 October 1994",Exhibition,Library,LIB,lib-9409,1994-09-02,
618,2,2012-03-08 13:05:02,2012-03-08 05:05:02,"[evtitle]The Ceaseless Line: Recent Works by Chu Ko, 2 March 1995 to 28 April 1995
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9503
[evdate]1995-03-02
","The Ceaseless Line: Recent Works by Chu Ko, 2 March 1995 to 28 April 1995",,publish,open,open,,lib-9503,,,2012-03-08 13:05:02,2012-03-08 05:05:02,,0,http://digitalimages.ust.hk/gallery/?p=618,0,post,,0,,"The Ceaseless Line: Recent Works by Chu Ko, 2 March 1995 to 28 April 1995",Exhibition,Library,LIB,lib-9503,1995-03-02,
619,2,2012-03-08 13:05:02,2012-03-08 05:05:02,"[evtitle]China in Maps: 16th-19th Century, 15 September 1995 to 15 November 1995
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9509
[evdate]1995-09-15
","China in Maps: 16th-19th Century, 15 September 1995 to 15 November 1995",,publish,open,open,,lib-9509,,,2012-03-08 13:05:02,2012-03-08 05:05:02,,0,http://digitalimages.ust.hk/gallery/?p=619,0,post,,0,,"China in Maps: 16th-19th Century, 15 September 1995 to 15 November 1995",Exhibition,Library,LIB,lib-9509,1995-09-15,
620,2,2012-03-08 13:05:02,2012-03-08 05:05:02,"[evtitle]Recent Works: Katherine Chang Liu &amp; Julia Nee Chu, 8 February 1996 to 5 April 1996
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9602
[evdate]1996-02-08
","Recent Works: Katherine Chang Liu &amp; Julia Nee Chu, 8 February 1996 to 5 April 1996",,publish,open,open,,lib-9602,,,2012-03-08 13:05:02,2012-03-08 05:05:02,,0,http://digitalimages.ust.hk/gallery/?p=620,0,post,,0,,"Recent Works: Katherine Chang Liu &amp; Julia Nee Chu, 8 February 1996 to 5 April 1996",Exhibition,Library,LIB,lib-9602,1996-02-08,
621,2,2012-03-08 12:05:06,2012-03-08 04:05:06,"[evtitle]Roaming in the Arts: An Exhibition by Three Calligraphers of the Lake Tai Canglang Society - Hua Rende, Hu Lunguang and Chu Yun, 19 September 1996 to 19 November 1996
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9609
[evdate]1996-09-19
","Roaming in the Arts: An Exhibition by Three Calligraphers of the Lake Tai Canglang Society - Hua Rende, Hu Lunguang and Chu Yun, 19 September 1996 to 19 November 1996",,publish,open,open,,lib-9609,,,2012-03-08 12:05:06,2012-03-08 04:05:06,,0,http://digitalimages.ust.hk/gallery/?p=621,0,post,,0,,"Roaming in the Arts: An Exhibition by Three Calligraphers of the Lake Tai Canglang Society - Hua Rende, Hu Lunguang and Chu Yun, 19 September 1996 to 19 November 1996",Exhibition,Library,LIB,lib-9609,1996-09-19,
622,2,2012-03-08 12:05:06,2012-03-08 04:05:06,"[evtitle]Colloquium on Information Science: HKUST Library Series No.3 - Transformations in Global Scientific Communication, 6 December 1996
[evtype]Colloquium
[dept]Library
[submittedby]LIB
[galleryname]lib-9612
[evdate]1996-12-06
","Colloquium on Information Science: HKUST Library Series No.3 - Transformations in Global Scientific Communication, 6 December 1996",,publish,open,open,,lib-9612,,,2012-03-08 12:05:06,2012-03-08 04:05:06,,0,http://digitalimages.ust.hk/gallery/?p=622,0,post,,0,,"Colloquium on Information Science: HKUST Library Series No.3 - Transformations in Global Scientific Communication, 6 December 1996",Colloquium,Library,LIB,lib-9612,1996-12-06,
623,2,2012-03-08 12:05:07,2012-03-08 04:05:07,"[evtitle]Recent Works by Jerzy Lesko, 21 March 1997 to 20 May 1997
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9703
[evdate]1997-03-21
","Recent Works by Jerzy Lesko, 21 March 1997 to 20 May 1997",,publish,open,open,,lib-9703,,,2012-03-08 12:05:07,2012-03-08 04:05:07,,0,http://digitalimages.ust.hk/gallery/?p=623,0,post,,0,,"Recent Works by Jerzy Lesko, 21 March 1997 to 20 May 1997",Exhibition,Library,LIB,lib-9703,1997-03-21,
624,2,2012-03-08 12:05:07,2012-03-08 04:05:07,"[evtitle]Gems of Contemporary Chinese Prints: An Exhibition by the Faculty of the Department of Print China National Academy of Fine Arts, 21 November 1997 to 31 January 1998
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9711
[evdate]1997-11-21
","Gems of Contemporary Chinese Prints: An Exhibition by the Faculty of the Department of Print China National Academy of Fine Arts, 21 November 1997 to 31 January 1998",,publish,open,open,,lib-9711,,,2012-03-08 12:05:07,2012-03-08 04:05:07,,0,http://digitalimages.ust.hk/gallery/?p=624,0,post,,0,,"Gems of Contemporary Chinese Prints: An Exhibition by the Faculty of the Department of Print China National Academy of Fine Arts, 21 November 1997 to 31 January 1998",Exhibition,Library,LIB,lib-9711,1997-11-21,
625,2,2012-03-08 12:05:07,2012-03-08 04:05:07,"[evtitle]Colloquium on Information Science: HKUST Library Series No.4 - Seminar on Chinese Information Processing in Libraries, 22-23 January 1998
[evtype]Colloquium
[dept]Library
[submittedby]LIB
[galleryname]lib-9801
[evdate]1998-01-22
","Colloquium on Information Science: HKUST Library Series No.4 - Seminar on Chinese Information Processing in Libraries, 22-23 January 1998",,publish,open,open,,lib-9801,,,2012-03-08 12:05:07,2012-03-08 04:05:07,,0,http://digitalimages.ust.hk/gallery/?p=625,0,post,,0,,"Colloquium on Information Science: HKUST Library Series No.4 - Seminar on Chinese Information Processing in Libraries, 22-23 January 1998",Colloquium,Library,LIB,lib-9801,1998-01-22,
626,2,2012-03-08 12:05:07,2012-03-08 04:05:07,"[evtitle]Poetry &amp; Painting: Cheung Ping's World of Photography, 23 April 1998 to 15 July 1998
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9804
[evdate]1998-04-23
","Poetry &amp; Painting: Cheung Ping's World of Photography, 23 April 1998 to 15 July 1998",,publish,open,open,,lib-9804,,,2012-03-08 12:05:07,2012-03-08 04:05:07,,0,http://digitalimages.ust.hk/gallery/?p=626,0,post,,0,,"Poetry &amp; Painting: Cheung Ping's World of Photography, 23 April 1998 to 15 July 1998",Exhibition,Library,LIB,lib-9804,1998-04-23,
627,2,2012-03-08 12:05:08,2012-03-08 04:05:08,"[evtitle]Sculpturing Time and Space - Yuyu Yang (1926-1997), 25 September 1998 to 30 January 1999
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9809
[evdate]1998-09-25
","Sculpturing Time and Space - Yuyu Yang (1926-1997), 25 September 1998 to 30 January 1999",,publish,open,open,,lib-9809,,,2012-03-08 12:05:08,2012-03-08 04:05:08,,0,http://digitalimages.ust.hk/gallery/?p=627,0,post,,0,,"Sculpturing Time and Space - Yuyu Yang (1926-1997), 25 September 1998 to 30 January 1999",Exhibition,Library,LIB,lib-9809,1998-09-25,
628,2,2012-03-08 12:05:08,2012-03-08 04:05:08,"[evtitle]All of Us are Related Each of Us is Unique- An Exhibition at the University Library Gallery, 19 March 1999 - 16 April 1999
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9903
[evdate]1999-03-19
","All of Us are Related Each of Us is Unique- An Exhibition at the University Library Gallery, 19 March 1999 - 16 April 1999",,publish,open,open,,lib-9903,,,2012-03-08 12:05:08,2012-03-08 04:05:08,,0,http://digitalimages.ust.hk/gallery/?p=628,0,post,,0,,"All of Us are Related Each of Us is Unique- An Exhibition at the University Library Gallery, 19 March 1999 - 16 April 1999",Exhibition,Library,LIB,lib-9903,1999-03-19,
629,2,2012-03-08 12:05:08,2012-03-08 04:05:08,"[evtitle]Impressions of Light and Shadow : An Exhibition of Watercolors by Zhinan Jiang, 23 April 1999 to 5 July 1999
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9904
[evdate]1999-04-23
","Impressions of Light and Shadow : An Exhibition of Watercolors by Zhinan Jiang, 23 April 1999 to 5 July 1999",,publish,open,open,,lib-9904,,,2012-03-08 12:05:08,2012-03-08 04:05:08,,0,http://digitalimages.ust.hk/gallery/?p=629,0,post,,0,,"Impressions of Light and Shadow : An Exhibition of Watercolors by Zhinan Jiang, 23 April 1999 to 5 July 1999",Exhibition,Library,LIB,lib-9904,1999-04-23,
630,2,2012-03-08 12:05:08,2012-03-08 04:05:08,"[evtitle]An Exhibition of Chinese Paintings by Au Ho-nien, 10 September 1999 to 8 December 1999
[evtype]Exhibition
[dept]Library
[submittedby]PAO
[galleryname]lib-9909
[evdate]1999-09-10
","An Exhibition of Chinese Paintings by Au Ho-nien, 10 September 1999 to 8 December 1999",,publish,open,open,,lib-9909,,,2012-03-08 12:05:08,2012-03-08 04:05:08,,0,http://digitalimages.ust.hk/gallery/?p=630,0,post,,0,,"An Exhibition of Chinese Paintings by Au Ho-nien, 10 September 1999 to 8 December 1999",Exhibition,Library,PAO,lib-9909,1999-09-10,
631,2,2012-03-08 12:05:08,2012-03-08 04:05:08,"[evtitle]Colloquium on Information Science: HKUST Library Series No.5 - The Challenges to and the Opportunities of Libraries in the New Century, 10 December 1999 - 14 December 1999
[evtype]Colloquium
[dept]Library
[submittedby]LIB
[galleryname]lib-9912a
[evdate]1999-12-10
","Colloquium on Information Science: HKUST Library Series No.5 - The Challenges to and the Opportunities of Libraries in the New Century, 10 December 1999 - 14 December 1999",,publish,open,open,,lib-9912a,,,2012-03-08 12:05:08,2012-03-08 04:05:08,,0,http://digitalimages.ust.hk/gallery/?p=631,0,post,,0,,"Colloquium on Information Science: HKUST Library Series No.5 - The Challenges to and the Opportunities of Libraries in the New Century, 10 December 1999 - 14 December 1999",Colloquium,Library,LIB,lib-9912a,1999-12-10,
632,2,2012-03-08 12:05:09,2012-03-08 04:05:09,"[evtitle]Gems of New Year Prints - An Exhibition from the Shanghai Library Collection, 15 December 1999 - 17 March 2000
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-9912b
[evdate]1999-12-15
","Gems of New Year Prints - An Exhibition from the Shanghai Library Collection, 15 December 1999 - 17 March 2000",,publish,open,open,,lib-9912b,,,2012-03-08 12:05:09,2012-03-08 04:05:09,,0,http://digitalimages.ust.hk/gallery/?p=632,0,post,,0,,"Gems of New Year Prints - An Exhibition from the Shanghai Library Collection, 15 December 1999 - 17 March 2000",Exhibition,Library,LIB,lib-9912b,1999-12-15,
639,2,2012-08-01 10:01:10,2012-08-01 02:01:10,"[submittedby]PAO
[oldcode]COM-KITE-XXX-SM
[galleryname]a1-10
[evtype]Competition
[evtype]Public
[evtype]Activities
[evdate]1995-06-17
[evtitle]Kite Flying Contest
",Kite Flying Contest,,publish,open,open,,a1-10,,,2012-08-01 10:01:10,2012-08-01 02:01:10,,0,http://digitalimages.ust.hk/gallery2/?p=639,0,post,,0,,Kite Flying Contest,Activities,,PAO,a1-10,1995-06-17,COM-KITE-XXX-SM
640,2,2012-08-01 10:01:14,2012-08-01 02:01:14,"[submittedby]PAO
[oldcode]MED-VIN-XXX-SM
[galleryname]a1-100
[evtype]Media
[evtype]Staff
[evtype]Activities
[evdate]1993-04-27
[evtitle]Media Luncheon : Stephen Vines
",Media Luncheon : Stephen Vines,,publish,open,open,,a1-100,,,2012-08-01 10:01:14,2012-08-01 02:01:14,,0,http://digitalimages.ust.hk/gallery2/?p=640,0,post,,0,,Media Luncheon : Stephen Vines,Activities,,PAO,a1-100,1993-04-27,MED-VIN-XXX-SM
641,2,2012-08-01 10:01:17,2012-08-01 02:01:17,"[submittedby]PAO
[oldcode]MIS-BAR2-XXX-SM
[galleryname]a1-110
[evtype]Music
[evtype]Staff
[evtype]Activities
[evdate]1996-03-27
[evtitle]Baroque to Rock (Concert at Expo Hall)
",Baroque to Rock (Concert at Expo Hall),,publish,open,open,,a1-110,,,2012-08-01 10:01:17,2012-08-01 02:01:17,,0,http://digitalimages.ust.hk/gallery2/?p=641,0,post,,0,,Baroque to Rock (Concert at Expo Hall),Activities,,PAO,a1-110,1996-03-27,MIS-BAR2-XXX-SM
642,2,2012-08-01 10:01:19,2012-08-01 02:01:19,"[submittedby]PAO
[oldcode]MIS-BAR1-XXX-SM
[galleryname]a1-120
[evtype]Music
[evtype]Staff
[evtype]Activities
[evdate]1996-03-20
[evtitle]Baroque to Rock (Expo Hall)
",Baroque to Rock (Expo Hall),,publish,open,open,,a1-120,,,2012-08-01 10:01:19,2012-08-01 02:01:19,,0,http://digitalimages.ust.hk/gallery2/?p=642,0,post,,0,,Baroque to Rock (Expo Hall),Activities,,PAO,a1-120,1996-03-20,MIS-BAR1-XXX-SM
